COUNTY,FIPS,SVPREC_KEY,ADDIST,CDDIST,TOTVOTE,DEMVOTE,REPVOTE,USPDEM01,USPREP01
1,06001,06001200100,14,12,256,0,0,172,53
1,06001,06001200100A,14,12,2804,0,0,2461,155
1,06001,06001200200,14,12,262,0,0,199,34
1,06001,06001200200A,14,12,1816,0,0,1572,111
1,06001,06001201400,14,12,283,0,0,217,32
1,06001,06001201400A,14,12,2782,0,0,2444,153
1,06001,06001202200,14,12,89,0,0,67,11
1,06001,06001202200A,14,12,343,0,0,285,23
1,06001,06001202500,14,12,394,0,0,299,53
1,06001,06001202500A,14,12,297,0,0,226,32
1,06001,06001202620,14,12,837,0,0,660,82
1,06001,06001202620A,14,12,290,0,0,242,27
1,06001,06001203100,14,12,140,0,0,106,17
1,06001,06001203100A,14,12,2178,0,0,1945,118
1,06001,06001203500,14,12,281,0,0,194,38
1,06001,06001203500A,14,12,1418,0,0,1215,93
1,06001,06001203800,14,12,196,0,0,158,15
1,06001,06001203800A,14,12,1742,0,0,1541,57
1,06001,06001203880,14,12,3,0,0,NA,NA
1,06001,06001203880A,14,12,25,0,0,21,0
1,06001,06001203890,14,12,0,0,0,0,0
1,06001,06001203890A,14,12,32,0,0,31,1
1,06001,06001204210,14,12,542,0,0,429,50
1,06001,06001204210A,14,12,1189,0,0,984,90
1,06001,06001204300,14,12,336,0,0,268,24
1,06001,06001204300A,14,12,1749,0,0,1535,58
1,06001,06001204900,14,12,461,0,0,355,32
1,06001,06001204900A,14,12,388,0,0,313,37
1,06001,06001205200,14,12,181,0,0,143,20
1,06001,06001205200A,14,12,3525,0,0,3134,167
1,06001,06001205700,14,12,225,0,0,182,21
1,06001,06001205700A,14,12,2966,0,0,2647,155
1,06001,06001206200,14,12,197,0,0,162,16
1,06001,06001206200A,14,12,1589,0,0,1386,67
1,06001,06001206900,14,12,185,0,0,146,22
1,06001,06001206900A,14,12,935,0,0,806,42
1,06001,06001207000,14,12,135,0,0,111,7
1,06001,06001207000A,14,12,1566,0,0,1404,63
1,06001,06001207200,14,12,208,0,0,174,18
1,06001,06001207200A,14,12,1855,0,0,1612,85
1,06001,06001207700,14,12,804,0,0,587,113
1,06001,06001207700A,14,12,1375,0,0,1077,132
1,06001,06001208010,14,12,275,0,0,223,28
1,06001,06001208010A,14,12,2615,0,0,2256,134
1,06001,06001208300,14,12,345,0,0,247,47
1,06001,06001208300A,14,12,2376,0,0,2038,97
1,06001,06001208510,14,12,331,0,0,260,25
1,06001,06001208510A,14,12,1519,0,0,1290,80
1,06001,06001208690,14,12,0,0,0,0,0
1,06001,06001208690A,14,12,25,0,0,24,1
1,06001,06001208800,14,12,167,0,0,128,19
1,06001,06001208800A,14,12,833,0,0,684,56
1,06001,06001208820,14,12,37,0,0,31,4
1,06001,06001208820A,14,12,272,0,0,230,15
1,06001,06001208900,14,12,115,0,0,89,5
1,06001,06001208900A,14,12,904,0,0,781,51
1,06001,06001209010,14,12,291,0,0,229,32
1,06001,06001209010A,14,12,2991,0,0,2580,132
1,06001,06001209310,14,12,362,0,0,283,38
1,06001,06001209310A,14,12,4276,0,0,3764,183
1,06001,06001209700,14,12,224,0,0,175,33
1,06001,06001209700A,14,12,1809,0,0,1528,118
1,06001,06001209900,14,12,536,0,0,426,63
1,06001,06001209900A,14,12,2815,0,0,2385,175
1,06001,06001213100,14,12,82,0,0,52,23
1,06001,06001213100A,14,12,874,0,0,738,84
1,06001,06001213500,14,12,182,0,0,141,28
1,06001,06001213500A,14,12,2528,0,0,2070,310
1,06001,06001213600,14,12,257,0,0,198,43
1,06001,06001213600A,14,12,3395,0,0,2921,291
1,06001,06001213920,14,12,3,0,0,NA,NA
1,06001,06001213920A,14,12,46,0,0,36,9
1,06001,06001214300,14,12,119,0,0,103,14
1,06001,06001214300A,14,12,1612,0,0,1381,151
1,06001,06001214600,14,12,188,0,0,149,22
1,06001,06001214600A,14,12,2762,0,0,2439,167
1,06001,06001215110,14,12,252,0,0,206,21
1,06001,06001215110A,14,12,2314,0,0,2064,70
1,06001,06001215400,14,12,106,0,0,81,10
1,06001,06001215400A,14,12,1066,0,0,921,58
1,06001,06001215500,14,12,269,0,0,222,25
1,06001,06001215500A,14,12,2971,0,0,2651,143
1,06001,06001215700,18,12,250,0,0,200,18
1,06001,06001215700A,18,12,2303,0,0,2006,82
1,06001,06001215800,18,12,231,0,0,189,18
1,06001,06001215800A,18,12,1257,0,0,1053,68
1,06001,06001223010,14,12,285,0,0,236,22
1,06001,06001223010A,14,12,3184,0,0,2812,136
1,06001,06001224000,18,12,202,0,0,164,23
1,06001,06001224000A,18,12,3610,0,0,3171,262
1,06001,06001224500,18,12,101,0,0,74,15
1,06001,06001224500A,18,12,1467,0,0,1251,110
1,06001,06001224600,18,12,123,0,0,95,20
1,06001,06001224600A,18,12,2024,0,0,1791,111
1,06001,06001224800,18,12,129,0,0,94,23
1,06001,06001224800A,18,12,1103,0,0,900,95
1,06001,06001225300,18,12,163,0,0,135,17
1,06001,06001225300A,18,12,1403,0,0,1207,82
1,06001,06001225710,18,12,242,0,0,180,36
1,06001,06001225710A,18,12,2415,0,0,2090,140
1,06001,06001225900,18,12,180,0,0,152,11
